DoB,UID,address,ethnic_group,gender,join_date
1952-05-17,2619064801348,M28 3,D,M,1993-05-02
1938-11-09,30350385872312,M40 7,B,F,1986-12-25
1963-12-02,45996755579470,M24 2,A,F,1973-12-14
1998-11-05,84338268220251,M27 8,B,M,2010-03-30
1953-01-31,48182238794819,M22 5,B,F,1986-02-07
1953-07-02,30533541800745,M4 5,F,M,1982-08-31
1986-11-02,55109945842710,M22 0,X,M,1988-08-03
1986-10-28,72205041072115,M4 1,F,M,1992-11-21
1950-11-07,81557115760690,M40 0,A,M,1979-12-31
1995-11-12,3441982974415,M23 9,C,M,2001-10-26
1986-01-07,6125325903937,M28 2,C,F,2014-03-23
1951-02-18,37950186631092,M27 0,A,M,2015-04-19
1950-05-14,95507218355028,M40 8,D,M,1965-01-29
1962-06-25,42280541381500,M34 6,X,M,1983-09-28
2006-03-26,49015550594391,M33 6,F,M,2014-10-26
1934-04-15,65759477558297,M6 7,X,F,1953-01-17
1975-12-03,86194038808981,M28 2,C,M,2009-05-18
2002-06-04,75983212569952,M4 5,C,M,2006-08-29
1985-03-01,70110360377364,M46 0,C,M,1996-05-18
2002-04-30,416268080538,M38 0,C,M,2012-02-20
1951-03-31,40617582346741,M9 0,D,F,1957-04-03
1935-03-26,61677811094252,M2 2,F,F,1970-01-29
1940-07-05,25271242744628,M28 3,A,F,1953-07-22
1943-08-20,10158224629735,M45 7,B,F,1992-09-01
1965-07-15,96085795686402,M21 9,C,F,2013-08-18
1975-07-22,22747179376834,M40 8,B,F,2006-03-11
1946-04-24,28894585365246,M20 6,F,M,1981-10-13
1999-05-09,58624599959339,M1 2,C,F,2017-05-22
2006-03-15,64008106569217,M1 3,X,F,2012-11-23
1997-10-29,83979058756372,M14 7,D,M,2000-03-26
1978-07-15,3615714706310,M27 0,C,F,2000-07-06
1956-08-13,61609521979802,M41 7,X,M,1999-08-27
1968-08-23,38784571275031,M25 3,C,M,2005-09-28
1967-03-25,6349339295090,M33 6,X,M,1996-09-11
1999-05-01,14962679640359,M4 6,B,F,2006-11-17
1984-08-19,50950638002723,M29 8,D,F,2001-02-22
1963-03-08,2377503818586,M6 5,B,F,1997-12-09
1953-05-08,83938763557295,M28 1,A,M,2004-10-06
1961-09-06,8546960482808,M40 8,B,M,1999-11-06
1999-07-19,91812703619917,M22 0,F,M,2002-10-12
1946-04-25,23737755104420,M19 1,X,F,2011-11-10
1971-11-14,31186556772112,M34 5,C,F,1992-09-08
1958-06-29,49305372550037,M34 3,B,F,2014-03-30
1933-10-27,49175176852381,M7 4,X,F,1980-07-15
1940-03-24,59294119725965,M40 8,C,F,1978-03-19
1970-03-11,60742989309703,M90 5,B,M,2016-08-16
1935-07-07,72257834122467,M34 3,C,M,1953-12-09
1981-08-17,75385267744803,M40 2,C,M,2015-09-25
1993-03-18,51194928730678,M11 4,F,F,1996-04-02
1957-03-08,82511084152719,M6 5,X,M,2017-06-01
1988-07-05,25138558645955,M27 0,C,M,1993-04-12
1989-07-25,79203944680820,M41 7,B,M,2006-05-08
1955-09-17,68393334871045,M14 7,F,M,1959-07-04
1967-07-13,51237906593895,M9 0,A,M,2017-10-29
2006-01-31,45177756879537,M20 1,X,F,2010-10-25
2004-08-24,47498444733384,M27 9,A,M,2007-11-23
1957-03-24,97092949056716,M33 5,B,M,1996-01-26
1960-12-30,94758037838272,M40 0,X,F,1987-03-04
1995-11-30,38202553952599,M28 2,B,F,2010-06-14
1984-01-08,13573636347007,M18 8,D,F,2008-03-25
1982-10-03,75256180999064,M40 0,D,F,1989-03-08
1987-07-25,38412397427332,M28 2,A,M,1994-08-17
1946-08-09,98030055572290,M28 2,F,F,1985-09-12
1973-10-21,74731379011757,M22 0,F,M,2001-07-31
1951-03-28,9775407238503,M40 1,D,F,1975-09-09
1988-09-05,99393348797428,M33 6,C,F,2010-08-23
1949-02-26,82068057569912,M8 9,B,F,1976-09-16
2002-12-05,99634796673452,M28 2,F,F,2009-06-24
1948-10-13,67878398606566,M14 7,B,M,1962-05-31
1976-02-19,13252196908633,M14 5,X,M,2012-07-01
1934-05-23,94763105214494,M23 9,X,M,1982-12-13
1936-12-21,32866160283841,M1 2,D,M,1981-06-28
1998-01-07,26816454949543,M28 2,A,M,2012-12-02
1996-12-06,73566835618435,M1 3,X,F,2013-01-10
1937-08-13,94727867764967,M6 5,C,F,1990-07-13
1961-09-07,97372864955864,M27 0,B,F,2014-06-23
1984-11-24,30517282448508,M24 1,D,M,2015-12-26
1993-12-07,14518162142030,M44 6,A,F,2009-07-05
1968-04-17,4107855234239,M9 4,D,M,1977-03-05
1948-04-19,1967215244525,M22 5,F,M,1999-03-26
1966-02-19,15634192898854,M7 2,B,M,1979-12-02
1998-08-24,41542033579957,M40 8,X,M,2002-09-15
2002-11-10,52667353111721,M43 7,F,F,2014-08-31
1981-09-01,77800633433863,M8 9,A,M,1983-10-30
1979-11-16,73044460458075,M33 5,C,F,1987-10-22
1995-09-23,61252096535573,M25 9,A,F,2006-09-12
1991-07-09,85771165145045,M2 2,A,F,2007-03-08
1939-10-24,41552776113887,M34 6,F,M,1962-10-13
1940-11-07,62899991060081,M28 1,C,M,1965-01-01
1964-03-08,63024596012619,M24 1,F,F,2015-10-01
1946-02-12,22609634862431,M41 7,A,M,1980-08-01
1996-06-17,11294620398439,M28 3,C,F,2003-11-15
1971-01-03,31645775038133,M3 3,D,M,1998-07-06
1950-11-18,97202190820944,M22 9,A,M,1996-06-06
1942-04-10,30136437818839,M33 5,F,M,2011-11-10
1939-02-03,78890380929350,M3 6,X,F,1958-04-21
2005-03-10,50676869283922,M28 2,B,F,2005-03-11
2005-11-03,60163195624194,M40 8,A,F,2006-08-08
1938-09-25,96576875549168,M24 2,B,M,1950-08-10
1943-08-28,16011712716076,M20 1,F,M,1986-09-01
1949-12-08,29066342699980,M27 9,D,M,1967-06-08
1959-06-30,3215327369381,M9 4,F,F,1969-03-06
1939-10-05,77457849301630,M33 5,F,F,2002-04-09
1934-01-11,28505969416579,M25 9,D,M,1941-06-26
1977-05-02,21342849348105,M7 4,A,M,2011-06-13
1987-03-16,67654963212162,M34 6,D,M,2008-12-12
1975-07-21,59132535325991,M30 0,B,F,1976-08-12
1950-02-05,49425849700208,M18 8,D,F,2001-10-01
1998-08-03,30218282519873,M11 4,X,M,2014-07-26
1953-02-11,1338002607433,M4 6,D,M,1989-04-15
1976-12-16,70889551954418,M9 4,F,M,2012-11-01
1995-06-12,98910837644851,M34 5,X,M,1999-03-25
1963-04-11,51194837156006,M30 0,F,M,1993-10-22
1966-02-15,26261708725385,M45 8,X,F,2006-02-16
1979-03-02,23107757212221,M24 4,C,M,2013-06-25
1939-04-10,17929768590498,M25 3,B,F,1946-05-23
2005-06-19,5910935950818,M22 0,X,F,2017-05-11
1992-07-25,47698079714171,M26 3,A,F,2010-12-06
1936-01-12,55363584835471,M9 0,B,F,2011-12-04
1970-05-16,81669608612415,M38 0,C,F,1999-05-30
1959-12-26,17006505031021,M34 6,F,M,1996-03-10
1937-02-12,48917161310902,M33 5,C,M,1982-10-28
1962-06-25,76458466428695,M1 3,F,F,1973-01-17
1963-12-06,85883356082348,M40 2,D,M,1969-01-11
1998-11-12,75622082866515,M20 1,D,M,2006-01-16
1998-04-19,74919362931660,M11 4,F,M,2017-05-19
1974-02-24,62651981437723,M27 8,C,F,1989-01-12
1993-04-16,48353921021905,M40 1,A,M,1996-08-20
1958-04-03,77592195334655,M40 8,C,M,2005-07-31
1938-09-07,41561358217142,M30 0,A,M,1967-01-16
1992-09-27,78045802982851,M15 5,C,M,2006-03-26
1935-06-27,59915424430195,M1 2,A,M,1994-05-19
1939-09-25,12854382366386,M4 1,A,F,1977-07-06
1980-01-16,59389071220307,M25 9,B,F,1991-09-12
1933-10-29,23235773600796,M6 5,C,F,1973-07-21
1972-10-08,58475430272425,M28 2,D,F,2014-12-03
2003-11-12,45403266272739,M35 0,X,M,2017-08-14
1948-01-24,63856339148916,M22 5,B,F,2017-10-01
1937-07-15,71046613140165,M38 0,C,F,1971-12-16
1994-11-16,665342605282,M25 1,B,F,2004-05-29
1952-06-18,54672818953725,M14 7,B,F,1993-05-19
1961-03-24,49648239273692,M20 6,F,F,2012-10-06
1969-09-04,6401925855830,M33 6,F,F,1999-07-29
1988-02-01,40602883305256,M22 5,F,F,1992-10-07
2007-09-18,17935736320580,M90 5,F,M,2017-04-28
2005-06-10,37922790831489,M34 5,F,F,2011-05-11
1969-09-20,95411640286941,M60 1,A,M,2013-02-03
1946-08-14,62609382738456,M33 3,F,F,1971-05-01
1952-08-20,33938060214193,M24 4,A,F,1984-07-15
1968-04-02,36626240014343,M12 5,D,F,1984-10-23
1957-07-07,54052470586552,M34 3,D,F,2001-06-13
1946-01-19,5834919842360,M40 8,A,F,1960-04-30
1942-07-13,45261905142429,M29 8,D,M,1963-03-19
1944-02-01,63348545907450,M30 0,A,F,2016-06-10
1969-02-11,4046518341056,M28 3,X,F,2006-09-12
1973-02-23,30043423816398,M41 7,X,F,1994-11-24
1935-09-06,19622135612468,M26 3,C,F,1979-10-03
1990-12-22,42773009779392,M41 7,D,M,2017-01-17
1992-01-13,99035165160615,M24 2,F,F,2006-06-28
2007-09-01,60492509041804,M20 4,A,F,2009-01-27
1942-07-16,30357373460709,M24 6,D,F,1943-05-26
1954-01-03,21936498076040,M24 1,X,F,2000-11-28
1962-11-24,22562151217623,M22 0,C,M,1978-06-10
1958-04-02,66451019284307,M34 6,X,M,1992-03-22
1938-06-11,18985194653477,M9 4,F,F,1964-11-10
1982-06-22,40973139065493,M7 3,F,F,1990-02-23
1985-09-08,2385505266170,M6 5,F,F,2006-06-30
1942-06-05,5418094167465,M19 1,X,F,1990-11-01
1936-10-23,77806473619802,M33 5,B,M,2000-03-19
1949-03-15,27897999746828,M20 4,X,M,2009-07-10
1953-06-07,76322172734809,M18 8,X,M,2011-04-02
1980-12-01,56376850527105,M14 5,C,M,1989-12-21
1984-12-05,33161501908113,M8 5,A,M,2003-08-14
1976-02-11,97672155944861,M4 6,B,M,2003-12-08
1976-07-23,81399831434491,M18 8,X,F,1995-04-12
2004-02-25,86056016792621,M20 6,F,F,2014-07-30
1935-03-07,90718392034659,M4 6,D,M,1955-08-16
1963-03-23,91442715456671,M45 7,B,F,1975-05-10
1942-11-21,21736793346583,M24 4,B,F,1965-08-26
1949-09-04,44559062911442,M23 9,D,M,2003-04-11
2000-01-02,54409734235245,M29 8,D,M,2002-08-01
1998-08-25,11041716361078,M9 0,C,F,2010-09-24
1960-08-04,48992656444825,M40 0,F,M,1974-05-09
1965-08-13,54572566852899,M9 4,X,F,2014-11-27
1999-07-30,96145505770190,M34 6,X,F,2003-02-05
1956-02-19,58744103354283,M25 3,C,M,1959-11-05
1982-12-11,12845969429478,M1 3,D,F,2014-02-28
1935-05-09,10222423739208,M20 6,B,M,1947-05-26
1941-02-19,79044858880574,M20 4,F,M,1971-11-18
1968-05-24,76345234226658,M6 7,C,F,1991-09-15
1943-09-27,23364000957613,M38 0,D,M,1976-02-22
1978-02-26,51472499284310,M34 5,D,F,1983-01-05
1969-06-22,39478851461492,M14 5,F,F,1974-10-24
2003-11-05,75439597299605,M23 9,C,M,2005-10-30
2007-12-28,69528919173078,M24 4,C,F,2008-05-15
1961-04-05,25791758113262,M40 2,C,F,1964-04-14
1998-03-09,50987542670419,M34 6,C,M,2017-08-13
1936-12-23,17155386070760,M2 2,X,M,1992-09-29
2002-09-02,70703872697628,M3 3,C,M,2007-02-03
1951-08-12,2691199118017,M44 6,A,M,2005-01-21
1984-10-20,43819288823599,M33 3,X,F,1994-01-19
1971-02-13,73005274838654,M6 5,D,M,1981-12-03
1966-08-16,88028742093421,M7 2,F,F,1995-03-15
1963-06-30,4070289520048,M15 5,D,M,1977-10-05
2003-06-07,78771568161646,M18 7,X,F,2015-09-01
1980-11-05,81553613631852,M28 1,F,M,1987-08-05
1981-10-28,62996410280198,M35 0,A,F,2016-02-13
1995-11-15,37211957798474,M8 9,X,F,2002-01-12
1999-12-01,91013952819674,M40 7,B,F,2006-11-28
1975-08-02,76734520242088,M28 2,B,M,2011-10-07
1938-12-31,90253892815567,M45 8,X,F,1953-06-01
1942-01-12,48258075090769,M9 4,F,F,1958-06-22
1995-09-26,87583448609924,M22 5,D,M,2009-01-26
1983-11-26,54589263359208,M45 7,A,F,1986-12-12
1948-12-22,39130565305481,M46 0,C,M,1968-05-21
1959-04-12,92958943334514,M9 4,C,F,1979-08-17
1963-03-27,29954199806694,M7 4,C,F,1966-04-24
1967-10-08,71084484516876,M24 1,C,F,1983-02-24
1977-11-22,92381885933097,M60 1,C,F,1995-02-17
1951-05-16,75794107077706,M33 3,B,M,1959-09-09
2000-06-29,89728821654661,M4 6,C,M,2008-06-17
1989-04-21,10073119257765,M9 4,F,F,1997-10-10
1946-07-22,61374217718087,M24 1,A,M,2002-07-17
1937-12-08,88934314659747,M12 5,F,F,1980-12-25
1941-06-28,53462936652331,M6 7,C,F,1955-07-08
1992-06-02,27424568122943,M3 3,X,M,2017-07-10
1995-07-25,46713741881077,M41 7,F,F,1998-08-03
1989-06-13,92108110360914,M22 5,C,F,1998-02-25
2007-08-01,24187277897496,M6 5,X,M,2014-09-14
1960-11-25,62994990010496,M24 6,A,F,1980-05-11
1998-06-10,40985580385379,M28 1,X,M,2009-03-02
1996-03-21,72928825922946,M27 0,B,F,2004-06-27
1944-04-24,82648487853308,M34 6,C,F,1963-07-05
2006-01-09,61410199177220,M24 6,C,M,2015-09-14
1992-10-26,97148314325937,M33 5,D,M,1995-09-03
1963-11-07,4840801232006,M20 4,D,M,1998-09-18
1965-10-07,37677400225610,M3 6,B,F,1982-04-14
1965-06-28,53943414375563,M24 4,D,M,2013-02-06
1952-05-04,84165869005128,M43 7,A,M,1997-05-10
1934-05-15,89234288539963,M40 7,C,F,1935-09-08
1973-09-11,46627351670262,M26 3,X,M,2001-11-28
1997-06-07,33339938371575,M24 6,D,F,1998-10-10
1994-07-25,93027447642322,M33 5,C,F,2017-10-17
1940-05-10,84999082778783,M41 7,A,F,1953-05-24
1999-08-20,31539818435310,M6 7,X,F,2000-02-03
1954-11-12,64631518898979,M19 1,D,M,2008-06-04
1996-09-22,88647590433296,M23 9,B,F,2015-05-09
1939-04-26,44179377332809,M40 8,D,F,2011-06-28
1938-06-02,94198647487748,M28 3,C,F,2017-06-11
1998-02-26,92886855142304,M22 9,D,M,1999-02-17
1977-07-31,66654750655851,M20 1,B,F,2001-11-27
1968-10-29,90430069480772,M46 0,A,M,2000-10-28
1943-05-27,66318219849639,M28 3,F,F,1971-09-30
1967-05-29,44629057013641,M30 0,B,M,2012-10-22
1946-12-05,81313319445962,M20 4,A,F,1974-01-12
1996-12-23,30431250971692,M41 7,F,M,1999-04-03
1964-09-26,36334971436400,M44 6,C,M,1969-05-22
1972-03-29,68425046132584,M20 1,A,M,2012-07-14
1954-03-05,86881013292138,M8 5,D,F,1997-01-09
1968-12-09,52232287432355,M8 9,C,F,2017-05-25
2001-12-21,76900904258844,M6 7,B,F,2016-07-18
1999-05-17,80519325710511,M33 6,F,F,2011-05-05
1944-01-02,70107417280639,M60 1,D,F,1972-05-28
1936-01-11,84863696503115,M3 3,C,F,2000-11-01
1966-10-11,29732486192623,M15 5,F,F,1968-05-04
1938-06-12,5856992194006,M7 2,B,M,2005-05-23
2001-05-22,65480980329970,M40 8,C,M,2015-10-20
1942-09-28,96251096914150,M33 6,C,F,1970-04-30
1934-08-30,28418287806779,M40 7,B,F,1964-07-24
1961-12-26,16731065851310,M12 5,A,M,1985-05-13
1993-02-10,22630823203730,M1 2,X,M,1998-09-16
1964-02-12,28681761787788,M40 8,B,M,2009-01-02
1970-07-14,98676079992142,M28 2,D,F,1971-11-19
1945-04-16,76255000810075,M33 3,D,F,1974-12-25
1988-03-25,91732549602962,M19 1,F,F,2013-05-15
1992-07-08,81359415988839,M46 0,B,F,2006-05-15
1984-12-07,51630711008823,M28 3,D,F,1993-05-25
1946-01-31,93411253637502,M21 9,B,F,1995-10-01
2000-05-27,55789767657885,M29 8,D,M,2002-07-19
1972-05-01,27285736479204,M40 8,F,M,1979-12-10
1936-06-03,12711577332465,M18 7,A,F,1998-01-08
2001-04-11,909761205916,M46 0,X,F,2016-11-24
1966-07-19,50375584115513,M28 1,A,M,1997-11-08
1979-09-07,87569568418944,M1 3,F,F,1980-03-25
2001-12-07,55205710701933,M22 0,A,M,2010-06-27
1967-12-21,77998613153056,M28 3,B,F,1980-12-08
2005-02-12,27289257270337,M22 0,C,M,2012-05-25
1992-11-06,25158438863656,M40 7,X,M,2000-07-17
1985-04-18,33078719769129,M45 8,F,F,2001-07-16
1975-12-30,68843703178623,M6 5,F,F,2011-12-16
1991-06-08,52126167259578,M40 2,D,M,1991-07-05
1975-03-17,55432519861325,M7 3,X,M,1978-02-13
1999-04-25,93609107370520,M45 8,B,F,2015-03-08
1998-06-11,52986161883628,M20 1,A,F,2001-03-20
1959-01-07,5030385468513,M28 1,A,F,1988-03-07
1939-10-13,53810302024258,M29 8,C,M,2017-11-11
1981-08-19,15786863588256,M33 3,C,M,2011-06-14
1966-06-27,41149329847974,M25 3,C,M,2005-08-13
1949-06-16,23913304271819,M5 4,A,M,2009-05-08
1936-08-19,49379378835261,M60 1,A,M,1989-05-26
1948-12-19,92249429441932,M44 6,B,M,2005-05-29
1998-10-26,83869049780722,M28 3,X,M,2007-11-08
1988-03-21,1433434606188,M24 6,A,F,1991-05-20
2002-05-22,56401648525920,M20 4,F,M,2010-03-12
1958-06-19,16158403432245,M6 7,A,F,1974-07-08
1939-04-07,53253155916276,M25 3,F,F,2014-04-17
1943-06-25,59333234167900,M44 6,X,F,1996-02-09
1997-10-08,27591794469970,M33 3,F,M,2011-05-30
1991-10-28,5185727386506,M22 0,X,M,1998-09-02
1943-07-18,59025913242461,M14 5,F,M,2015-11-30
1993-08-06,95523655393010,M28 2,X,F,2016-11-27
1993-01-21,396046171307,M28 1,B,M,2010-05-09
2000-06-15,56317283277664,M9 4,B,M,2010-10-12
1961-12-12,56543396095946,M27 9,X,F,1996-02-03
1979-05-06,38504842999676,M7 3,X,M,2008-04-22
2000-06-03,98980981392068,M20 4,D,M,2010-04-07
1943-11-01,95203768573432,M22 0,B,M,1977-07-10
1996-12-15,5260353239539,M6 7,A,F,2004-06-04
1947-12-12,68247550026022,M28 3,D,M,1979-07-22
1936-11-05,62591607302277,M12 5,B,M,1991-09-21
1979-09-13,2860566747444,M20 6,X,F,1995-02-26
2002-06-17,56474128005310,M22 9,C,F,2016-12-12
2004-04-23,28374204764475,M3 6,X,M,2014-04-05
1938-01-13,67139801206148,M22 5,A,M,1998-06-05
1963-08-14,36178684259607,M7 3,A,M,1988-12-20
1988-12-28,38848545870579,M28 2,F,F,1993-07-27
2001-03-18,50941298762701,M28 1,C,F,2008-03-04
1990-10-09,90577160002503,M15 5,A,F,1993-01-13
1935-11-25,5120626980899,M45 7,A,F,1948-09-11
1954-05-02,60859381320466,M27 8,B,M,1957-07-15
1995-03-16,91003355006610,M3 3,D,F,2009-05-24
1955-07-23,74297940317016,M45 7,B,F,1996-11-19
1989-07-13,59983185141485,M1 3,X,M,1995-09-03
1977-12-12,79468021115281,M46 0,D,F,1994-09-20
1939-07-09,47368009706238,M90 5,A,F,2001-12-31
1952-09-24,71741399959923,M26 3,C,M,2015-08-08
1994-09-30,36217874785292,M44 6,B,M,2015-08-22
1952-01-18,34164704066474,M12 5,X,F,1956-08-02
1985-09-14,93693875012526,M24 6,F,F,1986-11-01
1999-03-01,1912767673603,M28 2,X,M,2013-05-27
1992-10-26,72538229548828,M15 5,D,F,2011-01-28
1950-03-16,79159579976135,M27 9,A,M,1968-04-12
2003-02-01,31114065540423,M25 9,C,M,2004-06-10
1959-07-28,75814527252025,M40 8,F,M,2007-05-21
1946-03-10,56217425610487,M1 3,B,F,1978-05-10
1986-12-12,23865782384385,M8 5,D,M,2017-01-24
1958-06-11,10533046704659,M40 1,C,M,1985-04-30
1982-07-10,29584072109800,M11 4,A,F,1988-02-16
2001-04-26,66645256584846,M22 0,A,M,2010-01-16
1936-03-25,18834845087682,M4 5,X,F,1962-09-02
1977-10-21,23044083868255,M6 7,A,M,1992-08-22
2000-02-09,12452674336393,M26 3,B,F,2006-03-30
2002-11-24,9794751484426,M6 7,A,M,2003-03-21
2005-07-10,90566416884191,M7 4,A,M,2016-07-17
1989-06-18,19035211286850,M8 5,A,M,2008-03-28
1985-08-04,81300718925035,M24 1,A,F,1988-05-04
1996-03-20,15419105922840,M19 3,F,M,2000-06-19
1945-06-14,7518702549606,M33 3,D,M,1979-08-27
1952-02-01,64343102024010,M22 0,A,M,1976-06-25
1973-11-20,74205264796217,M9 0,B,M,1994-04-08
1936-06-16,85904139333340,M43 7,F,M,1964-12-05
1989-11-17,63173880360918,M3 6,F,M,2005-01-13
1994-04-11,42403413574338,M8 9,C,F,2005-04-11
1982-12-14,37793314595602,M33 5,F,F,2000-08-03
1941-04-07,539907379598,M7 3,F,F,2002-07-27
2004-07-04,65783696970529,M12 5,C,F,2016-05-12
1934-08-09,45496480430974,M21 9,D,F,1972-02-16
1934-09-16,58194929894451,M34 3,F,F,2003-12-30
1958-07-31,51140707492102,M9 0,B,F,1979-03-25
1937-03-29,62286513568532,M4 6,F,M,2017-10-19
1978-10-21,58017297257335,M33 6,A,F,1992-05-28
1969-09-29,56860414000922,M29 8,C,M,1995-08-26
1957-10-15,80041808103048,M9 0,A,M,2002-01-28
1962-06-18,57972420314486,M24 6,X,M,2003-05-26
1970-09-11,20515434915363,M23 9,C,F,1995-03-13
1960-08-15,34754905782802,M20 4,B,F,2017-05-19
1954-09-03,2841236322269,M2 2,F,F,2005-08-31
1949-06-19,49093901358690,M14 5,F,M,2002-06-12
1956-01-04,93201167473644,M24 4,F,F,1973-05-05
2001-08-08,91935787250006,M41 7,D,F,2003-06-22
1962-04-04,66472819801784,M25 1,X,M,1976-02-24
2006-01-22,11612016405533,M23 9,B,M,2007-10-14
1933-04-17,15977572250345,M1 3,D,M,2017-04-10
1935-01-05,34056659482101,M44 6,C,F,1971-12-17
1966-04-26,41993426810607,M34 3,C,F,2003-08-21
1953-09-12,52037476448542,M8 9,B,M,1993-03-16
1987-04-13,49800143010168,M27 9,X,M,2013-09-09
1978-12-19,37758925317398,M28 1,F,M,2012-06-29
1968-01-18,2730772395577,M19 1,A,M,1975-02-17
1963-09-30,91268173110616,M25 1,D,F,1969-10-06
1990-07-05,99107967241704,M20 6,F,M,1994-12-09
2003-07-09,21251823835412,M19 1,F,M,2012-11-14
1996-11-23,2037870584781,M20 6,C,M,2000-02-09
2007-12-04,74622258016551,M40 0,C,M,2008-02-25
1979-03-29,27367508354900,M40 8,X,F,1994-02-25
1933-05-30,70744029307719,M90 5,B,M,1936-10-30
1940-01-07,86216580724701,M46 0,X,M,1983-08-16
1950-05-26,2394904344155,M27 9,X,F,1952-05-04
1978-03-22,4598939883362,M18 7,B,M,2011-03-01
1934-03-01,91343943206815,M23 9,F,F,1973-08-04
1942-07-13,26426266961753,M3 6,D,M,2000-10-04
1939-06-22,88627988335811,M22 5,C,M,1946-02-21
1938-12-26,59455938171711,M24 1,X,M,1944-11-01
1951-12-28,66913748806750,M7 2,D,F,1994-01-24
1952-06-11,68691668193825,M44 6,A,F,2005-08-20
1933-04-11,83451364800840,M24 4,D,F,1993-05-06
1936-07-04,30494001844224,M8 9,X,F,1965-06-19
2000-02-25,37991431850265,M15 5,B,F,2002-10-13
1946-02-06,17561283829345,M40 0,X,F,2011-07-25
1954-03-19,94047712802781,M25 9,C,F,2007-02-17
1981-08-14,11851644803223,M19 3,C,F,1994-10-07
1992-05-31,16138964919326,M6 7,C,M,2012-09-17
1971-07-01,75316381649194,M33 3,B,M,2009-07-04
1946-05-12,81050592055861,M26 3,A,M,1981-09-29
1973-05-14,71202694808952,M34 5,D,M,1976-04-29
1949-04-02,55494767206047,M21 9,A,F,1960-02-05
1969-06-24,11185404879219,M22 5,C,M,2010-09-28
1966-08-28,35074547243484,M23 9,A,F,1970-03-21
1978-05-05,88873906981060,M20 6,X,F,1999-10-19
1985-08-01,34348623955687,M27 9,F,F,2016-12-03
1939-07-26,92753157866108,M19 1,X,F,1999-06-04
1949-09-21,64234471680808,M28 3,X,M,1985-09-24
1986-02-11,90071044043396,M3 6,F,M,2007-09-05
2006-06-23,35189562835231,M27 8,A,M,2015-02-05
1991-09-26,64572696204444,M29 8,C,F,2012-03-02
1953-03-17,17247946308475,M40 2,X,M,2011-07-27
1987-06-01,50335257307792,M4 5,C,M,1997-11-17
1943-05-07,73103972668218,M6 7,F,F,1948-09-06
1970-03-28,91852249253269,M33 3,D,F,1992-02-22
1989-03-19,73257416664638,M30 0,B,F,2004-01-10
1991-04-02,51766458787723,M34 6,D,M,2006-05-02
1958-12-27,38377835247420,M24 4,C,M,1968-05-26
